# ceiling-evidence.txt — the recorded maximum per gate leg, TRACKED so a gate can read it.
#
# GENERATED by `python tools/run-gates/derive-ceilings.py --write` from
# `<git-dir>/gate-run/*/*.leg`, which keeps one file per leg per run. Do not hand-edit: a
# row here is a claim about a measurement, and one typed by hand is a claim about nothing.
#
# MONOTONE. A row only ever rises. `gate-run` retains a handful of runs, so a quiet window
# would otherwise lower the evidenced maximum and with it the floor every ceiling is held
# above. `--write --reset <leg>` lowers one by DELETING that leg's killed readings from the
# untracked run record, so no later write can hand the value back — which is what a
# decision somebody made has to mean here.
#
# THE SOURCE COLUMN tells a reading this tool derived from the run record apart from one
# taken outside the runner and fed in with `--write --observed '<leg>=<seconds>' --how
# '<how>'`. In-band rows spell `runner`; an out-of-band row spells the operator's
# own account of how the number was taken, beside the node it was taken on. A leg killed
# at its ceiling can produce no in-band reading above that ceiling, which is why the
# out-of-band path exists — and why it is never allowed to look like the in-band one.
#
# <leg>	<max seconds>	<readings>	<node>	<date>	<source>
govkit runbook parity	1.3	2	a	2026-09-24	runner
govkit selfcheck	20.5	2	a	2026-09-24	runner
govkit selftest	3358.7	1	a	2026-09-24	runner
harness arms (fail branches armed or pinned)	2.9	1	a	2026-09-06	runner
hook destinations (every declared hook path ships)	46.1	1	a	2026-09-24	runner
hook destinations self-test	801.4	1	a	2026-09-24	runner
install-prefix (shipped surface)	58.2	2	a	2026-09-24	runner
install-prefix self-test	577.2	2	a	2026-09-24	runner
kickoff engine size <=18KiB	7.6	1	a	2026-09-06	runner
kickoff-manifest ratchet	15.6	1	a	2026-09-24	runner
kit epoch (shipped bytes move, the version moves)	30.1	2	a	2026-09-24	runner
kit placeholders (a declared token its adopter substitutes)	1.2	1	a	2026-09-24	runner
kit version markers	22.0	1	a	2026-09-06	runner
kit-placeholders self-test	9.8	2	a	2026-09-24	runner
kit/dogfood doc parity	5.2	2	a	2026-09-24	runner
leg ceilings clear their evidenced maximum	1.7	2	a	2026-09-24	runner
lexicon naming predicates	7.3	2	a	2026-09-24	runner
lexicon selftest	287.5	2	a	2026-09-24	runner
lexicon wiring	15.7	2	a	2026-09-24	runner
line length	8.9	1	a	2026-09-06	runner
line-length gate selftest	86.2	2	a	2026-09-24	runner
manifest-check self-test	1400.7	2	a	2026-09-24	runner
marker contracts	93.7	1	a	2026-09-06	runner
memory hygiene	86.8	1	a	2026-09-24	runner
memory-hygiene self-test	1970.5	2	a	2026-09-24	runner
memory-recall kit selftest	270.0	2	a	2026-09-24	runner
memory-recall skill wiring	6.1	1	a	2026-09-06	runner
method carriers (every pointer declared)	10.4	2	a	2026-09-24	runner
method-carriers self-test	32.0	2	a	2026-09-24	runner
micro-format definitions	24.1	1	a	2026-09-06	runner
micro-format gate selftest	101.5	2	a	2026-09-24	runner
pass-order history	1053.6	2	a	2026-09-24	runner
placeholder-catalogue self-test	13.7	2	a	2026-09-24	runner
playbook parity	16.1	1	a	2026-09-06	runner
playbook parity selftest	128.1	2	a	2026-09-24	runner
playbook placeholder catalogue	3.7	1	a	2026-09-06	runner
playbook render selftest	1.5	2	a	2026-09-24	runner
playbook render wiring	3.0	1	a	2026-09-06	runner
playbook validity gate	231.1	1	a	2026-09-06	runner
pre-push bar self-test	121.1	2	a	2026-09-24	runner
pre-push run-log line	258.2	1	a	2026-09-24	runner
pre-push self-test	278.4	2	a	2026-09-24	runner
process-monitor adopter selftest	207.6	1	a	2026-09-24	runner
process-monitor census selftest	13.9	1	a	2026-09-24	runner
process-monitor wiring	8.3	2	a	2026-09-24	runner
profile-bar selftest	298.1	1	a	2026-09-06	runner
push-main self-test	120.6	2	a	2026-09-24	runner
pytest-guardrails self-test	7.9	2	a	2026-09-24	runner
python resolver (behaviour + inline parity + idiom ban)	48.8	2	a	2026-09-24	runner
recall floor	5.4	2	a	2026-09-24	runner
recall floor arms	36.8	3	a	2026-09-21	runner
receipt sync (installed files match the receipt)	1.0	2	a	2026-09-24	runner
review-join ban (no ref-keyed join)	10.8	2	a	2026-09-24	runner
review-join self-test	110.3	2	a	2026-09-24	runner
review-protocol parity (kit vs dogfood)	7.0	2	a	2026-09-24	runner
row-grammar selftest	42.7	2	a	2026-09-24	runner
row-keyed merge driver replay	269.1	2	a	2026-09-24	runner
run-gates adopter e2e	49.4	2	a	2026-09-24	runner
run-gates canary	2304.8	1	a	2026-09-06	runner
run-gates evidence	1385.1	1	a	2026-09-06	runner
run-gates gov canary	17.9	1	a	2026-09-06	runner
run-gates run-log line	389.7	2	a	2026-09-24	runner
run-gates turnstile	1280.5	1	a	2026-09-06	runner
run-gates wiring	6.7	1	a	2026-09-06	runner
run-selftests self-test	1010.5	2	a	2026-09-24	runner
runlog record schema	2.1	5	a	2026-09-21	runner
runlog selftest	352.4	2	a	2026-09-24	runner
runlog skill wiring	3.9	2	a	2026-09-24	runner
scratch-guard self-test	163.5	2	a	2026-09-24	runner
selftest harness self-test	26.8	2	a	2026-09-24	runner
settings-merge selftest	6.8	2	a	2026-09-24	runner
shell hygiene (a loop fed by a command substitution)	1.1	1	a	2026-09-24	runner
shell-hygiene selftest	0.9	2	a	2026-09-24	runner
spec tokens (a spec's own names resolve)	2.6	2	a	2026-09-24	runner
spec-tokens self-test	156.8	1	a	2026-09-24	runner
template size <=48KiB	5.1	1	a	2026-09-06	runner
template size gate selftest	74.8	2	a	2026-09-24	runner
testsuite counts (every bar self-test prints one)	26.4	1	a	2026-09-06	runner
testsuite counts self-test	41.6	2	a	2026-09-24	runner
tier2-review self-test	1.7	2	a	2026-09-24	runner
unattended kit gate	1922.0	2	a	2026-09-24	runner
unattended protocol size	3.5	2	a	2026-09-24	runner
unattended skill wiring	10.8	2	a	2026-09-24	runner
unattended-build self-test	332.0	1	a	2026-09-24	alone in the worktree at 386f168b beside three concurrent suites (govkit selftest, memory-hygiene self-test, check-unattended self-test), real 332s; killed at its 300 s ceiling under the width-8 full bar
verdict epoch (kit version dates the engine)	4.9	1	a	2026-09-06	runner
verdict-epoch self-test	112.0	2	a	2026-09-24	runner
verifier fan-out	7.1	1	a	2026-09-06	runner
verifier fan-out self-test	51.8	2	a	2026-09-24	runner
workflow script syntax	0.9	2	a	2026-09-24	runner
